Product_ID,Material_Name,CAS_Number,FEMA,Supplier,Original_Price,Currency,Price_Per_Gram
Citralva 10% in DPG [PerfumersWorld],Citralva 10% in DPG,"5146-66-7|10.0
25265-71-8|90.0",,PerfumersWorld,0.07,USD (per g),2.38
Citrathal [MySkinRecipes],Citrathal,7492-66-2,,MySkinRecipes,5950.0,THB (per kg),5.95
Citrathal [PerfumersWorld],Citrathal,7492-66-2,,PerfumersWorld,0.48,USD (per g),16.32
Citric Acid [PerfumersWorld],Citric Acid,77-92-9,,PerfumersWorld,0.08,USD (per g),2.72
Citronella Essential Oil Citronella Oil [SimpleScents],Citronella Essential Oil Citronella Oil,8000-29-1,,SimpleScents,90.0,THB (Unit),3.6
Citronellal [MySkinRecipes],Citronellal,106-23-0,,MySkinRecipes,2500.0,THB (per kg),2.5
CitronellAL [PerfumersWorld],CitronellAL,106-23-0,,PerfumersWorld,0.12,USD (per g),4.08
CitronellAL 10% in DPG [PerfumersWorld],CitronellAL 10% in DPG,"106-23-0|10.0
25265-71-8|90.0",,PerfumersWorld,0.07,USD (per g),2.38
CitronellOL [PerfumersWorld],CitronellOL,106-22-9,,PerfumersWorld,0.22,USD (per g),7.48
"Citronellol (96%, DL-) (FEMA-2309) [MySkinRecipes]","Citronellol (96%, DL-) (FEMA-2309)","106-22-9|96.0
25265-71-8|4.0",2309.0,MySkinRecipes,2250.0,THB (per kg),2.25
Citronellyl Acetate [PerfumersWorld],Citronellyl Acetate,150-84-5,,PerfumersWorld,0.18,USD (per g),6.12
Citronellyl Acetate (FEMA-2311) [MySkinRecipes],Citronellyl Acetate (FEMA-2311),150-84-5,2311.0,MySkinRecipes,2628.0,THB (per kg),2.628
Citronellyl Butyrate (FEMA-2312) [MySkinRecipes],Citronellyl Butyrate (FEMA-2312),141-16-2,2312.0,MySkinRecipes,4950.0,THB (per kg),4.95
Citronellyl Formate [PerfumersWorld],Citronellyl Formate,105-85-1,,PerfumersWorld,0.18,USD (per g),6.12
Citronellyl Formate (FEMA-2314) [MySkinRecipes],Citronellyl Formate (FEMA-2314),105-85-1,2314.0,MySkinRecipes,2610.0,THB (per kg),2.61
Citronellyl Isobutyrate (FEMA-2313) [MySkinRecipes],Citronellyl Isobutyrate (FEMA-2313),97-89-2,2313.0,MySkinRecipes,4950.0,THB (per kg),4.95
Citronellyl Nitrile [MySkinRecipes],Citronellyl Nitrile,51566-62-2,,MySkinRecipes,2550.0,THB (per kg),2.55
Citronellyl Nitrile [PerfumersWorld],Citronellyl Nitrile,51566-62-2,,PerfumersWorld,0.22,USD (per g),7.48
"Citronellyl Oxyacetaldehyde, Muguet Aldehyde 50% [MySkinRecipes]","Citronellyl Oxyacetaldehyde, Muguet Aldehyde 50%","7492-67-3|50.0
25265-71-8|50.0",,MySkinRecipes,43827.0,THB (per kg),43.827
Citronellyl Propionate (FEMA-2316) [MySkinRecipes],Citronellyl Propionate (FEMA-2316),141-14-0,2316.0,MySkinRecipes,4860.0,THB (per kg),4.86
Citrus Carbaldehyde [MySkinRecipes],Citrus Carbaldehyde,37677-14-8,,MySkinRecipes,2250.0,THB (per kg),2.25
Civet Art [PerfumersWorld],Civet Art,Mixture,,PerfumersWorld,4.0,USD (per g),136.0
Civet Art 10% in DPG [PerfumersWorld],Civet Art 10% in DPG,Mixture,,PerfumersWorld,0.45,USD (per g),15.3
"Clary propionate, Sclareolate [MySkinRecipes]","Clary propionate, Sclareolate",319002-92-1,,MySkinRecipes,199950.0,THB (per kg),199.95
Clary Sage Enssential Oil Clary Sage Oil [SimpleScents],Clary Sage Enssential Oil Clary Sage Oil,8016-63-5,,SimpleScents,250.0,THB (Unit),10.0
Clearwood [PerfumersWorld],Clearwood,84238-39-1 : 1450625-49-6,,PerfumersWorld,0.34,USD (per g),11.56
Clearwood (Patchouli Oil Replacer) (firmenich) [MySkinRecipes],Clearwood (Patchouli Oil Replacer) (firmenich),,,MySkinRecipes,6950.0,THB (per kg),6.95
Clove Leaves Essential Oil Clove Leaves Oil [SimpleScents],Clove Leaves Essential Oil Clove Leaves Oil,8000-34-8,,SimpleScents,125.0,THB (Unit),5.0
Cocoa Absolute [MySkinRecipes],Cocoa Absolute,,,MySkinRecipes,7500.0,THB (per kg),7.5
"Cocoa Aldehyde, Cocoa Hexenal (FEMA 3199) [MySkinRecipes]","Cocoa Aldehyde, Cocoa Hexenal (FEMA 3199)",21834-92-4,3199.0,MySkinRecipes,11950.0,THB (per kg),11.95
"Coconut Decanone Methyl, Methyl Laitone 10% [MySkinRecipes]","Coconut Decanone Methyl, Methyl Laitone 10%","94201-19-1|10.0
25265-71-8|90.0",,MySkinRecipes,13450.0,THB (per kg),13.45
"Conifer Acetate, Coniferan [MySkinRecipes]","Conifer Acetate, Coniferan",67874-72-0,,MySkinRecipes,6000.0,THB (per kg),6.0
Coniferan [PerfumersWorld],Coniferan,67874-72-0,,PerfumersWorld,0.45,USD (per g),15.3
Cosmone [MySkinRecipes],Cosmone,259854-70-1,,MySkinRecipes,89950.0,THB (per kg),89.95
Cosmone [PerfumersWorld],Cosmone,259854-70-1,,PerfumersWorld,4.3,USD (per g),146.2
Costus Olifac 1% in DPG [PerfumersWorld],Costus Olifac 1% in DPG,Mixture,,PerfumersWorld,0.12,USD (per g),4.08
Costus Olifac 10% in DPG [PerfumersWorld],Costus Olifac 10% in DPG,Mixture,,PerfumersWorld,0.74,USD (per g),25.16
Costus Olifac Iff [PerfumersWorld],Costus Olifac Iff,Mixture,,PerfumersWorld,7.2,USD (per g),244.8
